id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Can't Stop the Feeling!,Justin Timberlake,pop,happy,0.82,118,0.84,0.79,0.18
2,Aruarian Dance,Nujabes,lofi,chill,0.42,78,0.56,0.62,0.71
3,Mr. Brightside,The Killers,rock,intense,0.91,152,0.48,0.66,0.10
4,Staying There,L'Indécis,lofi,chill,0.35,72,0.60,0.58,0.86
5,Physical,Dua Lipa,pop,intense,0.93,132,0.77,0.88,0.05
6,Music for Airports 1/1,Brian Eno,ambient,chill,0.28,60,0.65,0.41,0.92
7,Waltz for Debby,Bill Evans Trio,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Nightcall,Kavinsky,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Feather,Nujabes,lofi,focused,0.40,80,0.59,0.60,0.78
10,Lisztomania,Phoenix,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Three Little Birds,Bob Marley & The Wailers,reggae,relaxed,0.55,92,0.83,0.74,0.40
12,Juicy,The Notorious B.I.G.,hip hop,confident,0.72,96,0.61,0.85,0.12
13,"Elegy for Strings, Op. 58",Edward Elgar,classical,melancholy,0.3,66,0.28,0.22,0.95
14,One More Time,Daft Punk,edm,energetic,0.95,128,0.70,0.91,0.03
15,"Take Me Home, Country Roads",John Denver,country,nostalgic,0.48,100,0.55,0.60,0.68
16,Let's Get It On,Marvin Gaye,r&b,romantic,0.52,84,0.66,0.71,0.44
17,Master of Puppets,Metallica,metal,angry,0.97,168,0.25,0.55,0.04
18,Ho Hey,The Lumineers,folk,hopeful,0.44,108,0.72,0.51,0.82
19,Four,"Michael Mayo, Norrbotten Big Band, Calle Rasmusson",jazz,energetic,0.72,168,0.63,0.468,0.30
20,Four,Miles Davis,jazz,intense,0.60,172,0.47,0.26,0.88
21,Ain't Misbehavin',"Ella Fitzgerald, Count Basie",jazz,happy,0.45,76,0.84,0.63,0.91
22,Mayonaka no Door~stay with me,Miki Matsubara,city pop,nostalgic,0.7,108,0.82,0.8,0.34
23,Plastic Love,Mariya Takeuchi,city pop,nostalgic,0.74,103,0.79,0.77,0.27
24,Days Of Wine And Roses - Instrumental,Dexter Gordon,jazz,relaxed,0.42,132,0.42,0.24,0.86
25,Travels,"Charlie Haden, Michael Brecker",jazz,melancholy,0.25,72,0.19,0.51,0.94
26,Scrapple From The Apple,Charlie Parker,jazz,energetic,0.68,200,0.66,0.28,0.89
27,Sunday Morning,Maroon 5,pop,relaxed,0.55,88,0.83,0.79,0.34
28,Where Do I Go,Drunken Tiger,hip hop,moody,0.62,90,0.32,0.75,0.09
29,Flight of the Foo Birds,Count Basie,jazz,confident,0.55,126,0.71,0.36,0.83
30,After You've Gone,Ella Fitzgerald,jazz,happy,0.66,180,0.88,0.56,0.84
31,May the Circle Be Unbroken,"Tuba Fats, Peter Nissens New Orleans Jazzband",jazz,hopeful,0.48,92,0.69,0.48,0.93
32,After You've Gone,"Tuba Fats, Peter Nissens New Orleans Jazzband",jazz,happy,0.70,200,0.87,0.57,0.92
33,Bill Bailey,Danny Barker,jazz,happy,0.52,120,0.85,0.54,0.94
34,"Yes Sir, That's My Baby",Milton Batiste,jazz,happy,0.60,132,0.86,0.58,0.91
35,They All Asked for You,"Milton Batiste's Zoo Band, Milton Batiste",jazz,happy,0.66,104,0.90,0.73,0.79
36,727 Ursaline Street,"The Jazz Crusade Revival Band, Paul Boehmke",jazz,relaxed,0.50,110,0.68,0.30,0.91
37,South Rampart Street Parade,Leroy Jones,jazz,energetic,0.74,152,0.86,0.40,0.81
38,Bluebird,Leroy Jones,jazz,chill,0.45,140,0.49,0.26,0.88
39,Brazilian National Anthem,"Terre Roche, Garry Dial",folk,hopeful,0.38,96,0.62,0.86,0.92
40,Creep,"Scott Bradlee's Postmodern Jukebox, Haley Reinhart",jazz,melancholy,0.42,177,0.21,0.42,0.77
41,Dean Town,Vulfpeck,funk,confident,0.62,111,0.76,0.78,0.07
42,Milkshake,Ghost-Note,funk,confident,0.72,100,0.72,0.74,0.04
43,Best Part,"Daniel Caesar, H.E.R.",r&b,romantic,0.40,92,0.66,0.61,0.47
44,On My Radio,The Selecter,ska,energetic,0.80,150,0.84,0.76,0.05
45,Creep,Karen Souza,jazz,moody,0.30,104,0.18,0.43,0.81
46,LOST IN PARADISE,"ALI, AKLO",hip hop,confident,0.78,122,0.76,0.79,0.05
47,Nomu,Good Kid,indie rock,hopeful,0.68,93,0.73,0.59,0.11
48,Blue Bossa - Remastered,Joe Henderson,jazz,chill,0.48,82,0.46,0.28,0.83
49,Confirmation,Charlie Parker,jazz,energetic,0.66,172,0.68,0.26,0.87
50,Impressions,Hiromi,jazz,intense,0.85,200,0.51,0.18,0.42
51,All The Things You Are,"Ella Fitzgerald, Nelson Riddle",jazz,romantic,0.40,120,0.57,0.44,0.89
52,Ace of Aces,The Fearless Flyers,funk,intense,0.78,130,0.63,0.66,0.05
53,Levitating,Dua Lipa,pop,happy,0.78,120,0.86,0.81,0.14
54,Adore You,Harry Styles,pop,romantic,0.58,100,0.68,0.72,0.28
55,Higher Love,"Kygo, Whitney Houston",pop,hopeful,0.72,112,0.79,0.76,0.22
56,Africa,Toto,pop,nostalgic,0.64,108,0.62,0.74,0.31
57,Run the World (Girls),Beyoncé,pop,confident,0.85,126,0.74,0.87,0.09
58,Don't Stop the Music,Rihanna,pop,energetic,0.90,128,0.81,0.90,0.06
59,Somebody Else,The 1975,pop,moody,0.61,104,0.44,0.70,0.33
60,Summer's Day,Jinsang,lofi,nostalgic,0.33,74,0.51,0.57,0.83
61,Harbor,Tomppabeats,lofi,relaxed,0.30,70,0.62,0.55,0.88
62,Anywhere,Idealism,lofi,melancholy,0.27,68,0.34,0.52,0.85
63,Soulful,L'Indécis,lofi,chill,0.38,76,0.58,0.61,0.80
64,Affection,Jinsang,lofi,focused,0.44,84,0.55,0.63,0.74
65,Beyond the Blue,Sleepy Fish,lofi,moody,0.31,72,0.40,0.54,0.87
66,Luv(sic) Pt. 3,Nujabes,lofi,hopeful,0.41,80,0.66,0.60,0.79
67,The Pretender,Foo Fighters,rock,angry,0.93,158,0.28,0.52,0.06
68,Don't Stop Believin',Journey,rock,hopeful,0.74,132,0.66,0.58,0.14
69,Runnin' Down a Dream,Tom Petty,rock,energetic,0.86,146,0.61,0.64,0.09
70,Black Hole Sun,Soundgarden,rock,melancholy,0.58,112,0.31,0.44,0.22
71,Barracuda,Heart,rock,confident,0.82,140,0.59,0.61,0.11
72,Livin' on a Prayer,Bon Jovi,rock,nostalgic,0.67,124,0.54,0.55,0.19
73,Search and Destroy,The Stooges,rock,intense,0.89,150,0.42,0.60,0.08
74,Come as You Are,Nirvana,rock,moody,0.63,118,0.35,0.48,0.17
75,Sweet Child O' Mine,Guns N' Roses,rock,happy,0.71,128,0.72,0.62,0.16
76,An Ending (Ascent),Brian Eno,ambient,melancholy,0.18,56,0.24,0.18,0.95
77,Weightless,Marconi Union,ambient,relaxed,0.22,58,0.52,0.24,0.93
78,Structures from Silence,Steve Roach,ambient,moody,0.31,64,0.33,0.29,0.88
79,Deep Blue Day,Brian Eno,ambient,focused,0.26,62,0.47,0.22,0.91
80,On Land,Brian Eno,ambient,hopeful,0.24,60,0.64,0.2,0.94
81,The Plateaux of Mirror,"Harold Budd, Brian Eno",ambient,nostalgic,0.2,54,0.38,0.16,0.96
82,A Walk,Tycho,ambient,chill,0.29,66,0.55,0.31,0.9
83,Rhubarb,Aphex Twin,ambient,intense,0.42,72,0.29,0.27,0.78
84,We Move Lightly,Dustin O'Halloran,ambient,romantic,0.25,58,0.6,0.21,0.92
85,Tech Noir,Gunship,synthwave,confident,0.80,112,0.62,0.78,0.08
86,Running in the Night,FM-84,synthwave,nostalgic,0.72,108,0.55,0.74,0.16
87,Turbo Killer,Carpenter Brut,synthwave,energetic,0.88,118,0.71,0.82,0.05
88,On the Run,Timecop1983,synthwave,melancholy,0.62,104,0.30,0.68,0.19
89,Sunset,The Midnight,synthwave,happy,0.76,116,0.77,0.80,0.11
90,Neo Tokyo,Perturbator,synthwave,intense,0.87,124,0.44,0.76,0.06
91,Days of Thunder,The Midnight,synthwave,moody,0.66,102,0.36,0.71,0.21
92,Outatime,FM-84,synthwave,hopeful,0.74,110,0.68,0.77,0.13
93,A Real Hero,"College, Electric Youth",synthwave,romantic,0.63,100,0.58,0.72,0.24
94,Electric Feel,MGMT,indie pop,happy,0.71,122,0.83,0.78,0.29
95,What You Know,Two Door Cinema Club,indie pop,hopeful,0.62,114,0.75,0.70,0.38
96,Sweet Disposition,The Temper Trap,indie pop,nostalgic,0.54,106,0.61,0.66,0.44
97,Bags,Clairo,indie pop,melancholy,0.48,100,0.35,0.62,0.47
98,Pumped Up Kicks,Foster the People,indie pop,energetic,0.79,128,0.80,0.83,0.25
99,Sunflower,Rex Orange County,indie pop,romantic,0.57,110,0.72,0.69,0.41
100,Glue Song,beabadoobee,indie pop,chill,0.51,98,0.66,0.64,0.49
101,Space Song,Beach House,indie pop,moody,0.56,104,0.42,0.61,0.45
102,Harmony Hall,Vampire Weekend,indie pop,confident,0.74,124,0.70,0.79,0.27
103,Pressure Drop,Toots and the Maytals,reggae,happy,0.58,94,0.86,0.79,0.36
104,"Get Up, Stand Up",Bob Marley & The Wailers,reggae,confident,0.62,88,0.74,0.81,0.30
105,Night Nurse,Gregory Isaacs,reggae,chill,0.47,84,0.68,0.76,0.44
